STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750528,0.00,0.0,82,69
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750529,0.39,0.0,79,65
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750530,0.07,0.0,74,61
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750531,0.00,0.0,83,58
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750601,0.00,0.0,83,57
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750602,0.00,0.0,84,62
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750603,0.00,0.0,86,63
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750604,0.00,0.0,90,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750605,0.00,0.0,91,76
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750606,0.00,0.0,91,77
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750607,0.00,0.0,90,75
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750608,0.45,0.0,87,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750609,1.60,0.0,90,68
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750610,0.27,0.0,81,68
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750611,0.00,0.0,81,68
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750612,0.00,0.0,87,68
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750613,0.00,0.0,91,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750614,0.00,0.0,92,75
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750615,0.00,0.0,90,76
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750616,0.00,0.0,92,75
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750617,0.00,0.0,92,76
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750618,0.00,0.0,91,78
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750619,0.00,0.0,92,78
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750620,0.00,0.0,91,77
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750621,0.31,0.0,86,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750622,0.00,0.0,91,74
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750623,0.00,0.0,91,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750624,0.27,0.0,88,72
GHCND:USW00013958,AUSTIN CAMP MABRY TX US,182.9,30.3,-97.7,19750625,1.81,0.0,91,71
